70000, 20000;
70209, 20059;
70421, 20112;
70637, 20145;
70856, 20169;
71077, 20178;
71300, 20181;
71524, 20176;
71749, 20159;
71975, 20129;
72201, 20094;
72427, 20054;
72653, 19997;
72878, 19928;
73101, 19862;
73322, 19776;
73541, 19686;
73757, 19589;
73970, 19495;
74180, 19390;
74387, 19274;
74590, 19166;
74789, 19047;
74984, 18928;
75175, 18799;
75361, 18665;
75542, 18528;
75717, 18397;
75887, 18268;
76052, 18124;
76212, 17989;
76366, 17846;
76515, 17700;
76658, 17568;
76795, 17428;
76926, 17277;
77051, 17126;
77170, 16971;
77282, 16832;
77388, 16700;
77488, 16569;
77583, 16430;
77672, 16296;
77755, 16168;
77832, 16033;
77903, 15905;
77968, 15764;
78027, 15639;
78080, 15526;
78128, 15396;
78170, 15275;
78207, 15066;
78234, 14864;
78252, 14662;
78260, 14479;
78260, 14309;
78252, 14149;
78236, 14009;
78214, 13872;
78185, 13753;
78151, 13645;
78111, 13539;
78066, 13463;
78018, 13399;
77967, 13351;
77913, 13300;
77857, 13265;
77799, 13220;
77739, 13203;
77678, 13191;
77616, 13188;
77554, 13193;
77492, 13202;
77430, 13214;
77369, 13243;
77309, 13273;
77250, 13310;
77193, 13351;
77138, 13406;
77085, 13457;
77034, 13508;
76987, 13576;
76942, 13631;
76899, 13692;
76859, 13748;
76821, 13814;
76786, 13883;
76754, 13955;
76726, 14024;
76701, 14083;
76678, 14162;
76659, 14253;
76644, 14332;
76633, 14396;
76625, 14463;
76620, 14540;
76618, 14613;
76619, 14679;
76624, 14744;
76632, 14823;
76643, 14880;
76657, 14935;
76673, 14994;
76692, 15047;
76714, 15086;
76737, 15135;
76763, 15174;
76791, 15197;
76820, 15218;
76850, 15243;
76881, 15260;
76913, 15274;
76946, 15284;
76979, 15298;
77013, 15297;
77047, 15299;
77081, 15544;
77127, 15527;
77172, 15510;
77216, 15499;
77260, 15480;
77303, 15465;
77346, 15433;
77387, 15422;
77428, 15366;
77467, 15336;
77504, 15298;
77540, 15261;
77574, 15218;
77606, 15175;
77636, 15124;
77664, 15093;
77691, 15038;
77715, 14993;
77737, 14957;
77758, 14912;
77777, 14871;
77794, 14821;
77808, 14777;
77820, 14735;
77830, 14683;
77838, 14639;
77844, 14593;
77848, 14538;
77849, 14494;
77848, 14453;
77845, 14400;
77840, 14362;
77833, 14324;
77824, 14302;
77814, 14266;
77803, 14234;
77790, 14215;
77776, 14183;
77761, 14169;
77745, 14155;
77728, 14140;
77711, 14121;
77693, 14123;
77675, 14109;
77656, 14094;
77636, 14091;
77616, 14093;
77596, 14099;
77576, 14109;
77557, 14121;
77538, 14120;
77519, 14125;
77500, 14141;
77482, 14152;
77465, 14163;
77448, 14165;
77431, 14177;
77415, 14182;
77399, 14190;
77383, 14214;
77368, 14241;
77354, 14257;
77341, 14275;
77329, 14294;
77318, 14318;
